Particle 28 (PDG=13, E=8.952 GeV)
106 hits:
Hit #   x [mm]      y [mm]      z [mm]      t [ns]      detector ID 
0       -780.000    5354.500    480.000     0.0000      3.0         
1       -600.000    4486.500    420.000     0.0000      3.0         
2       -690.000    4920.500    450.000     0.0000      3.0         
3       -750.000    5137.500    450.000     0.0000      3.0         
4       -840.000    5788.500    510.000     0.0000      3.0         
5       -810.000    5571.500    510.000     0.0000      3.0         
6       -660.000    4703.500    420.000     0.0000      3.0         
7       -142.800    2187.750    239.700     0.0293      1.0         
8       -137.700    2152.400    234.600     0.0296      1.0         
9       -142.800    2192.800    239.700     0.0296      1.0         
10      -153.000    2248.350    244.800     0.0298      1.0         
11      -158.100    2288.750    249.900     0.0299      1.0         
12      -137.700    2157.450    234.600     0.0299      1.0         
13      -142.800    2172.600    234.600     0.0300      1.0         
14      -142.800    2197.850    239.700     0.0300      1.0         
15      -147.900    2213.000    239.700     0.0301      1.0         
16      -147.900    2238.250    244.800     0.0302      1.0         
17      -153.000    2253.400    244.800     0.0302      1.0         
18      -158.100    2293.800    249.900     0.0303      1.0         
19      -137.700    2162.500    234.600     0.0303      1.0         
20      -142.800    2177.650    234.600     0.0303      1.0         
21      -142.800    2202.900    239.700     0.0304      1.0         
22      -147.900    2218.050    239.700     0.0305      1.0         
23      -147.900    2243.300    244.800     0.0305      1.0         
24      -153.000    2258.450    244.800     0.0306      1.0         
25      -158.100    2298.850    249.900     0.0306      1.0         
26      -137.700    2167.550    234.600     0.0307      1.0         
27      -142.800    2182.700    234.600     0.0307      1.0         
28      -142.800    2207.950    239.700     0.0308      1.0         
29      -147.900    2223.100    239.700     0.0308      1.0         
30      -153.000    2263.500    244.800     0.0309      1.0         
31      -158.100    2303.900    249.900     0.0310      1.0         
32      -163.200    2344.300    255.000     0.0311      1.0         
33      -180.000    2421.000    270.000     0.0312      2.0         
34      -147.900    2228.150    239.700     0.0312      1.0         
35      -153.000    2268.550    244.800     0.0313      1.0         
36      -163.200    2324.100    249.900     0.0314      1.0         
37      -158.100    2308.950    249.900     0.0314      1.0         
38      -163.200    2349.350    255.000     0.0315      1.0         
39      -147.900    2233.200    239.700     0.0316      1.0         
40      -153.000    2273.600    244.800     0.0317      1.0         
41      -163.200    2329.150    249.900     0.0318      1.0         
42      -158.100    2314.000    249.900     0.0318      1.0         
43      -153.000    2278.650    244.800     0.0321      1.0         
44      -163.200    2334.200    249.900     0.0322      1.0         
